{'systime': '10:30:00', 'ltime': '无', 'code': 'A', 'number': '0', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:09', 'ltime': '无', 'code': 'A', 'number': '2990', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:10', 'ltime': '无', 'code': 'A', 'number': '3910', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:10', 'ltime': '无', 'code': 'A', 'number': '3910', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:11', 'ltime': '无', 'code': 'A', 'number': '4790', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:11', 'ltime': '无', 'code': 'A', 'number': '4790', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:12', 'ltime': '无', 'code': 'A', 'number': '5595', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:12', 'ltime': '无', 'code': 'A', 'number': '5595', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:13', 'ltime': '无', 'code': 'A', 'number': '6373', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:13', 'ltime': '无', 'code': 'A', 'number': '6373', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:14', 'ltime': '无', 'code': 'A', 'number': '7072', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:14', 'ltime': '无', 'code': 'A', 'number': '7072', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:15', 'ltime': '10:30:09', 'code': 'A', 'number': '7785', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:15', 'ltime': '10:30:09', 'code': 'A', 'number': '7785', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:16', 'ltime': '10:30:16', 'code': 'A', 'number': '8423', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:16', 'ltime': '10:30:16', 'code': 'A', 'number': '8423', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:17', 'ltime': '10:30:16', 'code': 'A', 'number': '9021', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:17', 'ltime': '10:30:16', 'code': 'A', 'number': '9021', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:18', 'ltime': '10:30:16', 'code': 'A', 'number': '9606', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:18', 'ltime': '10:30:16', 'code': 'A', 'number': '9606', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:19', 'ltime': '10:30:16', 'code': 'A', 'number': '10193', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:19', 'ltime': '10:30:16', 'code': 'A', 'number': '10193', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:20', 'ltime': '10:30:16', 'code': 'A', 'number': '10769', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:20', 'ltime': '10:30:16', 'code': 'A', 'number': '10769', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:21', 'ltime': '10:30:16', 'code': 'A', 'number': '11341', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:21', 'ltime': '10:30:16', 'code': 'A', 'number': '11341', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:22', 'ltime': '10:30:16', 'code': 'A', 'number': '11912', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:22', 'ltime': '10:30:16', 'code': 'A', 'number': '11912', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:23', 'ltime': '10:30:16', 'code': 'A', 'number': '12466', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:23', 'ltime': '10:30:16', 'code': 'A', 'number': '12466', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:24', 'ltime': '10:30:16', 'code': 'A', 'number': '13198', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:24', 'ltime': '10:30:16', 'code': 'A', 'number': '13198', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:25', 'ltime': '10:30:16', 'code': 'A', 'number': '13789', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:25', 'ltime': '10:30:16', 'code': 'A', 'number': '13789', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:26', 'ltime': '10:30:16', 'code': 'A', 'number': '14384', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:26', 'ltime': '10:30:16', 'code': 'A', 'number': '14384', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:27', 'ltime': '10:30:16', 'code': 'A', 'number': '14879', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:27', 'ltime': '10:30:16', 'code': 'A', 'number': '14879', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:28', 'ltime': '10:30:16', 'code': 'A', 'number': '15487', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:28', 'ltime': '10:30:16', 'code': 'A', 'number': '15487', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:29', 'ltime': '10:30:16', 'code': 'A', 'number': '16044', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:29', 'ltime': '10:30:16', 'code': 'A', 'number': '16044', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:30', 'ltime': '10:30:16', 'code': 'A', 'number': '16632', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:30', 'ltime': '10:30:16', 'code': 'A', 'number': '16632', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:31', 'ltime': '10:30:16', 'code': 'A', 'number': '17160', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:31', 'ltime': '10:30:16', 'code': 'A', 'number': '17160', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:32', 'ltime': '10:30:16', 'code': 'A', 'number': '17654', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:32', 'ltime': '10:30:16', 'code': 'A', 'number': '17654', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:33', 'ltime': '10:30:16', 'code': 'A', 'number': '18116', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:33', 'ltime': '10:30:16', 'code': 'A', 'number': '18116', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:34', 'ltime': '10:30:16', 'code': 'A', 'number': '18570', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:34', 'ltime': '10:30:16', 'code': 'A', 'number': '18570', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:35', 'ltime': '10:30:16', 'code': 'A', 'number': '19070', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:35', 'ltime': '10:30:16', 'code': 'A', 'number': '19070', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:36', 'ltime': '10:30:16', 'code': 'A', 'number': '19605', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:36', 'ltime': '10:30:16', 'code': 'A', 'number': '19605', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:37', 'ltime': '10:30:16', 'code': 'A', 'number': '20074', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:37', 'ltime': '10:30:16', 'code': 'A', 'number': '20074', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:38', 'ltime': '10:30:16', 'code': 'A', 'number': '20580', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:38', 'ltime': '10:30:16', 'code': 'A', 'number': '20580', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:39', 'ltime': '10:30:16', 'code': 'A', 'number': '21062', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:39', 'ltime': '10:30:16', 'code': 'A', 'number': '21062', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:40', 'ltime': '10:30:16', 'code': 'A', 'number': '21518', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:40', 'ltime': '10:30:16', 'code': 'A', 'number': '21518', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:41', 'ltime': '10:30:16', 'code': 'A', 'number': '21955', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:41', 'ltime': '10:30:16', 'code': 'A', 'number': '21955', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:42', 'ltime': '10:30:16', 'code': 'A', 'number': '22399', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:42', 'ltime': '10:30:16', 'code': 'A', 'number': '22399', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:43', 'ltime': '10:30:16', 'code': 'A', 'number': '22847', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:43', 'ltime': '10:30:16', 'code': 'A', 'number': '22847', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:44', 'ltime': '10:30:16', 'code': 'A', 'number': '23305', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:44', 'ltime': '10:30:16', 'code': 'A', 'number': '23305', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:45', 'ltime': '10:30:16', 'code': 'A', 'number': '23750', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:45', 'ltime': '10:30:16', 'code': 'A', 'number': '23750', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:46', 'ltime': '10:30:16', 'code': 'A', 'number': '24279', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:46', 'ltime': '10:30:16', 'code': 'A', 'number': '24279', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:47', 'ltime': '10:30:16', 'code': 'A', 'number': '24625', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:47', 'ltime': '10:30:16', 'code': 'A', 'number': '24625', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:48', 'ltime': '10:30:16', 'code': 'A', 'number': '24968', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:48', 'ltime': '10:30:16', 'code': 'A', 'number': '24968', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:49', 'ltime': '10:30:16', 'code': 'A', 'number': '25361', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:49', 'ltime': '10:30:16', 'code': 'A', 'number': '25361', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:50', 'ltime': '10:30:16', 'code': 'A', 'number': '25696', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:50', 'ltime': '10:30:16', 'code': 'A', 'number': '25696', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:51', 'ltime': '10:30:16', 'code': 'A', 'number': '26214', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:51', 'ltime': '10:30:16', 'code': 'A', 'number': '26214', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:52', 'ltime': '10:30:16', 'code': 'A', 'number': '26800', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:52', 'ltime': '10:30:16', 'code': 'A', 'number': '26800', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:53', 'ltime': '10:30:16', 'code': 'A', 'number': '27417', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:53', 'ltime': '10:30:16', 'code': 'A', 'number': '27417', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:54', 'ltime': '10:30:16', 'code': 'A', 'number': '27983', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:54', 'ltime': '10:30:16', 'code': 'A', 'number': '27983', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:55', 'ltime': '10:30:16', 'code': 'A', 'number': '28495', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:55', 'ltime': '10:30:16', 'code': 'A', 'number': '28495', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:56', 'ltime': '10:30:16', 'code': 'A', 'number': '28976', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:56', 'ltime': '10:30:16', 'code': 'A', 'number': '28976', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:57', 'ltime': '10:30:16', 'code': 'A', 'number': '29432', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:57', 'ltime': '10:30:16', 'code': 'A', 'number': '29432', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:58', 'ltime': '10:30:16', 'code': 'A', 'number': '29905', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:58', 'ltime': '10:30:16', 'code': 'A', 'number': '29905', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:59', 'ltime': '10:30:16', 'code': 'A', 'number': '30347', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:30:59', 'ltime': '10:30:16', 'code': 'A', 'number': '30347', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:00', 'ltime': '10:30:16', 'code': 'A', 'number': '30779', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:00', 'ltime': '10:30:16', 'code': 'A', 'number': '30779', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:01', 'ltime': '10:30:16', 'code': 'A', 'number': '31249', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:01', 'ltime': '10:30:16', 'code': 'A', 'number': '31249', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:02', 'ltime': '10:30:16', 'code': 'A', 'number': '31674', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:02', 'ltime': '10:30:16', 'code': 'A', 'number': '31674', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:03', 'ltime': '10:30:16', 'code': 'A', 'number': '32086', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:03', 'ltime': '10:30:16', 'code': 'A', 'number': '32086', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:04', 'ltime': '10:30:16', 'code': 'A', 'number': '32527', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:04', 'ltime': '10:30:16', 'code': 'A', 'number': '32527', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:05', 'ltime': '10:30:16', 'code': 'A', 'number': '32945', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:05', 'ltime': '10:30:16', 'code': 'A', 'number': '32945', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:06', 'ltime': '10:30:16', 'code': 'A', 'number': '33397', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:06', 'ltime': '10:30:16', 'code': 'A', 'number': '33397', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:07', 'ltime': '10:30:16', 'code': 'A', 'number': '33808', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:07', 'ltime': '10:30:16', 'code': 'A', 'number': '33808', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:08', 'ltime': '10:30:16', 'code': 'A', 'number': '34217', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:08', 'ltime': '10:30:16', 'code': 'A', 'number': '34217', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:09', 'ltime': '10:30:16', 'code': 'A', 'number': '34623', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:09', 'ltime': '10:30:16', 'code': 'A', 'number': '34623', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:10', 'ltime': '10:30:16', 'code': 'A', 'number': '34997', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:10', 'ltime': '10:30:16', 'code': 'A', 'number': '34997', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:11', 'ltime': '10:30:16', 'code': 'A', 'number': '35343', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:11', 'ltime': '10:30:16', 'code': 'A', 'number': '35343', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:12', 'ltime': '10:30:16', 'code': 'A', 'number': '35717', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:12', 'ltime': '10:30:16', 'code': 'A', 'number': '35717', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:13', 'ltime': '10:30:16', 'code': 'A', 'number': '36078', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:13', 'ltime': '10:30:16', 'code': 'A', 'number': '36078', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:14', 'ltime': '10:30:16', 'code': 'A', 'number': '36423', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:14', 'ltime': '10:30:16', 'code': 'A', 'number': '36423', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:15', 'ltime': '10:30:16', 'code': 'A', 'number': '36773', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:15', 'ltime': '10:30:16', 'code': 'A', 'number': '36773', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:16', 'ltime': '10:30:16', 'code': 'A', 'number': '37080', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:16', 'ltime': '10:30:16', 'code': 'A', 'number': '37080', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:17', 'ltime': '10:30:16', 'code': 'A', 'number': '37435', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:17', 'ltime': '10:30:16', 'code': 'A', 'number': '37435', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:18', 'ltime': '10:30:16', 'code': 'A', 'number': '37780', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:18', 'ltime': '10:30:16', 'code': 'A', 'number': '37780', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:19', 'ltime': '10:30:16', 'code': 'A', 'number': '38092', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:19', 'ltime': '10:30:16', 'code': 'A', 'number': '38092', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:20', 'ltime': '10:30:16', 'code': 'A', 'number': '38421', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:20', 'ltime': '10:30:16', 'code': 'A', 'number': '38421', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:21', 'ltime': '10:30:16', 'code': 'A', 'number': '38693', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:21', 'ltime': '10:30:16', 'code': 'A', 'number': '38693', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:22', 'ltime': '10:30:16', 'code': 'A', 'number': '39007', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:22', 'ltime': '10:30:16', 'code': 'A', 'number': '39007', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:23', 'ltime': '10:30:16', 'code': 'A', 'number': '39327', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:23', 'ltime': '10:30:16', 'code': 'A', 'number': '39327', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:24', 'ltime': '10:30:16', 'code': 'A', 'number': '39631', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:24', 'ltime': '10:30:16', 'code': 'A', 'number': '39631', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:25', 'ltime': '10:30:16', 'code': 'A', 'number': '39951', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:25', 'ltime': '10:30:16', 'code': 'A', 'number': '39951', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:26', 'ltime': '10:30:16', 'code': 'A', 'number': '40261', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:26', 'ltime': '10:30:16', 'code': 'A', 'number': '40261', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:27', 'ltime': '10:30:16', 'code': 'A', 'number': '40611', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:27', 'ltime': '10:30:16', 'code': 'A', 'number': '40611', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:27', 'ltime': '10:30:16', 'code': 'A', 'number': '40611', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:28', 'ltime': '10:30:16', 'code': 'A', 'number': '40919', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:29', 'ltime': '10:30:16', 'code': 'A', 'number': '41210', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:29', 'ltime': '10:30:16', 'code': 'A', 'number': '41210', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:30', 'ltime': '10:30:16', 'code': 'A', 'number': '41497', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:30', 'ltime': '10:30:16', 'code': 'A', 'number': '41497', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:31', 'ltime': '10:30:16', 'code': 'A', 'number': '41801', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:31', 'ltime': '10:30:16', 'code': 'A', 'number': '41801', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:32', 'ltime': '10:30:16', 'code': 'A', 'number': '42072', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:32', 'ltime': '10:30:16', 'code': 'A', 'number': '42072', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:33', 'ltime': '10:30:16', 'code': 'A', 'number': '42348', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:33', 'ltime': '10:30:16', 'code': 'A', 'number': '42348', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:34', 'ltime': '10:30:16', 'code': 'A', 'number': '42668', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:34', 'ltime': '10:30:16', 'code': 'A', 'number': '42668', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:35', 'ltime': '10:30:16', 'code': 'A', 'number': '42948', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:35', 'ltime': '10:30:16', 'code': 'A', 'number': '42948', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:36', 'ltime': '10:30:16', 'code': 'A', 'number': '43225', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:36', 'ltime': '10:30:16', 'code': 'A', 'number': '43225', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:37', 'ltime': '10:30:16', 'code': 'A', 'number': '43490', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:37', 'ltime': '10:30:16', 'code': 'A', 'number': '43490', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:38', 'ltime': '10:30:16', 'code': 'A', 'number': '43770', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:38', 'ltime': '10:30:16', 'code': 'A', 'number': '43770', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:38', 'ltime': '10:30:16', 'code': 'A', 'number': '43770', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:39', 'ltime': '10:30:16', 'code': 'A', 'number': '44009', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:40', 'ltime': '10:30:16', 'code': 'A', 'number': '44241', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:40', 'ltime': '10:30:16', 'code': 'A', 'number': '44241', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:41', 'ltime': '10:30:16', 'code': 'A', 'number': '44505', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:41', 'ltime': '10:30:16', 'code': 'A', 'number': '44505', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:42', 'ltime': '10:30:16', 'code': 'A', 'number': '44727', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:42', 'ltime': '10:30:16', 'code': 'A', 'number': '44727', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:43', 'ltime': '10:30:16', 'code': 'A', 'number': '44996', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:43', 'ltime': '10:30:16', 'code': 'A', 'number': '44996', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:43', 'ltime': '10:30:16', 'code': 'A', 'number': '44996', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:44', 'ltime': '10:30:16', 'code': 'A', 'number': '45218', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:44', 'ltime': '10:30:16', 'code': 'A', 'number': '45218', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:45', 'ltime': '10:30:16', 'code': 'A', 'number': '45464', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:45', 'ltime': '10:30:16', 'code': 'A', 'number': '45464', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:46', 'ltime': '10:30:16', 'code': 'A', 'number': '45673', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:46', 'ltime': '10:30:16', 'code': 'A', 'number': '45673', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:47', 'ltime': '10:30:16', 'code': 'A', 'number': '45908', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:47', 'ltime': '10:30:16', 'code': 'A', 'number': '45908', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:48', 'ltime': '10:30:16', 'code': 'A', 'number': '46097', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:48', 'ltime': '10:30:16', 'code': 'A', 'number': '46097', 'price': '72600', 'bidinfo': '上半场'}
{'systime': '10:31:49', 'ltime': '10:30:16', 'code': 'A', 'number': '46327', 'price': '72600', 'bidinfo': '上半场'}
