{'price': '100', 'code': 'A', 'systime': '10:30:00', 'bidinfo': '上半场', 'ltime': '无', 'number': '0'}
{'price': '72600', 'code': 'A', 'systime': '10:30:19', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '12836'}
{'price': '72600', 'code': 'A', 'systime': '10:30:19', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '12836'}
{'price': '72600', 'code': 'A', 'systime': '10:30:20', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '13508'}
{'price': '72600', 'code': 'A', 'systime': '10:30:20', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '13508'}
{'price': '72600', 'code': 'A', 'systime': '10:30:21', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '14175'}
{'price': '72600', 'code': 'A', 'systime': '10:30:21', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '14175'}
{'price': '72600', 'code': 'A', 'systime': '10:30:22', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '14771'}
{'price': '72600', 'code': 'A', 'systime': '10:30:22', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '14771'}
{'price': '72600', 'code': 'A', 'systime': '10:30:23', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '15636'}
{'price': '72600', 'code': 'A', 'systime': '10:30:23', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '15636'}
{'price': '72600', 'code': 'A', 'systime': '10:30:24', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '17053'}
{'price': '72600', 'code': 'A', 'systime': '10:30:24', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '17053'}
{'price': '72600', 'code': 'A', 'systime': '10:30:25', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '18140'}
{'price': '72600', 'code': 'A', 'systime': '10:30:25', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '18140'}
{'price': '72600', 'code': 'A', 'systime': '10:30:26', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '18716'}
{'price': '72600', 'code': 'A', 'systime': '10:30:26', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '18716'}
{'price': '72600', 'code': 'A', 'systime': '10:30:27', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '19282'}
{'price': '72600', 'code': 'A', 'systime': '10:30:27', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '19282'}
{'price': '72600', 'code': 'A', 'systime': '10:30:28', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '20026'}
{'price': '72600', 'code': 'A', 'systime': '10:30:28', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '20026'}
{'price': '72600', 'code': 'A', 'systime': '10:30:29', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '20660'}
{'price': '72600', 'code': 'A', 'systime': '10:30:29', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '20660'}
{'price': '72600', 'code': 'A', 'systime': '10:30:30', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '21259'}
{'price': '72600', 'code': 'A', 'systime': '10:30:30', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '21259'}
{'price': '72600', 'code': 'A', 'systime': '10:30:31', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '21860'}
{'price': '72600', 'code': 'A', 'systime': '10:30:31', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '21860'}
{'price': '72600', 'code': 'A', 'systime': '10:30:32', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '22376'}
{'price': '72600', 'code': 'A', 'systime': '10:30:32', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '22376'}
{'price': '72600', 'code': 'A', 'systime': '10:30:33', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '22892'}
{'price': '72600', 'code': 'A', 'systime': '10:30:33', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '22892'}
{'price': '72600', 'code': 'A', 'systime': '10:30:34', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '23358'}
{'price': '72600', 'code': 'A', 'systime': '10:30:34', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '23358'}
{'price': '72600', 'code': 'A', 'systime': '10:30:35', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '23848'}
{'price': '72600', 'code': 'A', 'systime': '10:30:35', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '23848'}
{'price': '72600', 'code': 'A', 'systime': '10:30:36', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '24373'}
{'price': '72600', 'code': 'A', 'systime': '10:30:36', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '24373'}
{'price': '72600', 'code': 'A', 'systime': '10:30:37', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '24857'}
{'price': '72600', 'code': 'A', 'systime': '10:30:37', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '24857'}
{'price': '72600', 'code': 'A', 'systime': '10:30:38', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '25295'}
{'price': '72600', 'code': 'A', 'systime': '10:30:38', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '25295'}
{'price': '72600', 'code': 'A', 'systime': '10:30:39', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '25717'}
{'price': '72600', 'code': 'A', 'systime': '10:30:39', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '25717'}
{'price': '72600', 'code': 'A', 'systime': '10:30:40', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '26150'}
{'price': '72600', 'code': 'A', 'systime': '10:30:40', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '26150'}
{'price': '72600', 'code': 'A', 'systime': '10:30:41', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '26601'}
{'price': '72600', 'code': 'A', 'systime': '10:30:41', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '26601'}
{'price': '72600', 'code': 'A', 'systime': '10:30:42', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '27011'}
{'price': '72600', 'code': 'A', 'systime': '10:30:42', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '27011'}
{'price': '72600', 'code': 'A', 'systime': '10:30:43', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '27565'}
{'price': '72600', 'code': 'A', 'systime': '10:30:43', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '27565'}
{'price': '72600', 'code': 'A', 'systime': '10:30:44', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '28012'}
{'price': '72600', 'code': 'A', 'systime': '10:30:44', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '28012'}
{'price': '72600', 'code': 'A', 'systime': '10:30:45', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '28401'}
{'price': '72600', 'code': 'A', 'systime': '10:30:45', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '28401'}
{'price': '72600', 'code': 'A', 'systime': '10:30:46', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '28779'}
{'price': '72600', 'code': 'A', 'systime': '10:30:46', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '28779'}
{'price': '72600', 'code': 'A', 'systime': '10:30:47', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '29154'}
{'price': '72600', 'code': 'A', 'systime': '10:30:47', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '29154'}
{'price': '72600', 'code': 'A', 'systime': '10:30:48', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '29502'}
{'price': '72600', 'code': 'A', 'systime': '10:30:48', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '29502'}
{'price': '72600', 'code': 'A', 'systime': '10:30:49', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '29855'}
{'price': '72600', 'code': 'A', 'systime': '10:30:49', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '29855'}
{'price': '72600', 'code': 'A', 'systime': '10:30:50', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '30275'}
{'price': '72600', 'code': 'A', 'systime': '10:30:50', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '30275'}
{'price': '72600', 'code': 'A', 'systime': '10:30:51', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '30612'}
{'price': '72600', 'code': 'A', 'systime': '10:30:51', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '30612'}
{'price': '72600', 'code': 'A', 'systime': '10:30:52', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '30936'}
{'price': '72600', 'code': 'A', 'systime': '10:30:52', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '30936'}
{'price': '72600', 'code': 'A', 'systime': '10:30:53', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '31366'}
{'price': '72600', 'code': 'A', 'systime': '10:30:53', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '31366'}
{'price': '72600', 'code': 'A', 'systime': '10:30:54', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '31729'}
{'price': '72600', 'code': 'A', 'systime': '10:30:54', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '31729'}
{'price': '72600', 'code': 'A', 'systime': '10:30:55', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '32048'}
{'price': '72600', 'code': 'A', 'systime': '10:30:55', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '32048'}
{'price': '72600', 'code': 'A', 'systime': '10:30:56', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '32371'}
{'price': '72600', 'code': 'A', 'systime': '10:30:56', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '32371'}
{'price': '72600', 'code': 'A', 'systime': '10:30:57', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '32650'}
{'price': '72600', 'code': 'A', 'systime': '10:30:57', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '32650'}
{'price': '72600', 'code': 'A', 'systime': '10:30:58', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '33116'}
{'price': '72600', 'code': 'A', 'systime': '10:30:58', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '33116'}
{'price': '72600', 'code': 'A', 'systime': '10:30:59', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '33474'}
{'price': '72600', 'code': 'A', 'systime': '10:30:59', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '33474'}
{'price': '72600', 'code': 'A', 'systime': '10:31:00', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '33790'}
{'price': '72600', 'code': 'A', 'systime': '10:31:00', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '33790'}
{'price': '72600', 'code': 'A', 'systime': '10:31:01', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '34105'}
{'price': '72600', 'code': 'A', 'systime': '10:31:01', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '34105'}
{'price': '72600', 'code': 'A', 'systime': '10:31:02', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '34451'}
{'price': '72600', 'code': 'A', 'systime': '10:31:14', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '37871'}
{'price': '72600', 'code': 'A', 'systime': '10:31:14', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '37871'}
{'price': '72600', 'code': 'A', 'systime': '10:31:15', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38076'}
{'price': '72600', 'code': 'A', 'systime': '10:31:15', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38076'}
{'price': '72600', 'code': 'A', 'systime': '10:31:16', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38326'}
{'price': '72600', 'code': 'A', 'systime': '10:31:16', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38326'}
{'price': '72600', 'code': 'A', 'systime': '10:31:17', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38533'}
{'price': '72600', 'code': 'A', 'systime': '10:31:17', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38533'}
{'price': '72600', 'code': 'A', 'systime': '10:31:18', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38755'}
{'price': '72600', 'code': 'A', 'systime': '10:31:18', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38755'}
{'price': '72600', 'code': 'A', 'systime': '10:31:19', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38987'}
{'price': '72600', 'code': 'A', 'systime': '10:31:19', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '38987'}
{'price': '72600', 'code': 'A', 'systime': '10:31:20', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39220'}
{'price': '72600', 'code': 'A', 'systime': '10:31:20', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39220'}
{'price': '72600', 'code': 'A', 'systime': '10:31:21', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39451'}
{'price': '72600', 'code': 'A', 'systime': '10:31:21', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39451'}
{'price': '72600', 'code': 'A', 'systime': '10:31:22', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39654'}
{'price': '72600', 'code': 'A', 'systime': '10:31:22', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39654'}
{'price': '72600', 'code': 'A', 'systime': '10:31:23', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39841'}
{'price': '72600', 'code': 'A', 'systime': '10:31:23', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '39841'}
{'price': '72600', 'code': 'A', 'systime': '10:31:24', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40094'}
{'price': '72600', 'code': 'A', 'systime': '10:31:24', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40094'}
{'price': '72600', 'code': 'A', 'systime': '10:31:25', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40296'}
{'price': '72600', 'code': 'A', 'systime': '10:31:25', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40296'}
{'price': '72600', 'code': 'A', 'systime': '10:31:26', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40532'}
{'price': '72600', 'code': 'A', 'systime': '10:31:26', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40532'}
{'price': '72600', 'code': 'A', 'systime': '10:31:27', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40762'}
{'price': '72600', 'code': 'A', 'systime': '10:31:27', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40762'}
{'price': '72600', 'code': 'A', 'systime': '10:31:28', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40974'}
{'price': '72600', 'code': 'A', 'systime': '10:31:28', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '40974'}
{'price': '72600', 'code': 'A', 'systime': '10:31:29', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41219'}
{'price': '72600', 'code': 'A', 'systime': '10:31:29', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41219'}
{'price': '72600', 'code': 'A', 'systime': '10:31:30', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41440'}
{'price': '72600', 'code': 'A', 'systime': '10:31:30', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41440'}
{'price': '72600', 'code': 'A', 'systime': '10:31:31', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41666'}
{'price': '72600', 'code': 'A', 'systime': '10:31:31', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41666'}
{'price': '72600', 'code': 'A', 'systime': '10:31:32', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41906'}
{'price': '72600', 'code': 'A', 'systime': '10:31:32', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '41906'}
{'price': '72600', 'code': 'A', 'systime': '10:31:33', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42119'}
{'price': '72600', 'code': 'A', 'systime': '10:31:33', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42119'}
{'price': '72600', 'code': 'A', 'systime': '10:31:34', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42304'}
{'price': '72600', 'code': 'A', 'systime': '10:31:34', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42304'}
{'price': '72600', 'code': 'A', 'systime': '10:31:35', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42501'}
{'price': '72600', 'code': 'A', 'systime': '10:31:35', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42501'}
{'price': '72600', 'code': 'A', 'systime': '10:31:36', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42676'}
{'price': '72600', 'code': 'A', 'systime': '10:31:36', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42676'}
{'price': '72600', 'code': 'A', 'systime': '10:31:37', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42858'}
{'price': '72600', 'code': 'A', 'systime': '10:31:37', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '42858'}
{'price': '72600', 'code': 'A', 'systime': '10:31:38', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43039'}
{'price': '72600', 'code': 'A', 'systime': '10:31:38', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43039'}
{'price': '72600', 'code': 'A', 'systime': '10:31:39', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43203'}
{'price': '72600', 'code': 'A', 'systime': '10:31:39', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43203'}
{'price': '72600', 'code': 'A', 'systime': '10:31:40', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43358'}
{'price': '72600', 'code': 'A', 'systime': '10:31:40', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43358'}
{'price': '72600', 'code': 'A', 'systime': '10:31:41', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43585'}
{'price': '72600', 'code': 'A', 'systime': '10:31:41', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43585'}
{'price': '72600', 'code': 'A', 'systime': '10:31:42', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43773'}
{'price': '72600', 'code': 'A', 'systime': '10:31:42', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43773'}
{'price': '72600', 'code': 'A', 'systime': '10:31:43', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43969'}
{'price': '72600', 'code': 'A', 'systime': '10:31:43', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '43969'}
{'price': '72600', 'code': 'A', 'systime': '10:31:44', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44125'}
{'price': '72600', 'code': 'A', 'systime': '10:31:44', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44125'}
{'price': '72600', 'code': 'A', 'systime': '10:31:45', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44313'}
{'price': '72600', 'code': 'A', 'systime': '10:31:45', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44313'}
{'price': '72600', 'code': 'A', 'systime': '10:31:46', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44509'}
{'price': '72600', 'code': 'A', 'systime': '10:31:46', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44509'}
{'price': '72600', 'code': 'A', 'systime': '10:31:47', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44694'}
{'price': '72600', 'code': 'A', 'systime': '10:31:47', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44694'}
{'price': '72600', 'code': 'A', 'systime': '10:31:48', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44854'}
{'price': '72600', 'code': 'A', 'systime': '10:31:48', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '44854'}
{'price': '72600', 'code': 'A', 'systime': '10:31:49', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45016'}
{'price': '72600', 'code': 'A', 'systime': '10:31:49', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45016'}
{'price': '72600', 'code': 'A', 'systime': '10:31:50', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45182'}
{'price': '72600', 'code': 'A', 'systime': '10:31:50', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45182'}
{'price': '72600', 'code': 'A', 'systime': '10:31:51', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45371'}
{'price': '72600', 'code': 'A', 'systime': '10:31:51', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45371'}
{'price': '72600', 'code': 'A', 'systime': '10:31:52', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45520'}
{'price': '72600', 'code': 'A', 'systime': '10:31:52', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45520'}
{'price': '72600', 'code': 'A', 'systime': '10:31:53', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45675'}
{'price': '72600', 'code': 'A', 'systime': '10:31:53', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45675'}
{'price': '72600', 'code': 'A', 'systime': '10:31:54', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45836'}
{'price': '72600', 'code': 'A', 'systime': '10:31:54', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45836'}
{'price': '72600', 'code': 'A', 'systime': '10:31:55', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45996'}
{'price': '72600', 'code': 'A', 'systime': '10:31:55', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '45996'}
{'price': '72600', 'code': 'A', 'systime': '10:31:56', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46126'}
{'price': '72600', 'code': 'A', 'systime': '10:31:56', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46126'}
{'price': '72600', 'code': 'A', 'systime': '10:31:57', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46291'}
{'price': '72600', 'code': 'A', 'systime': '10:31:57', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46291'}
{'price': '72600', 'code': 'A', 'systime': '10:31:58', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46474'}
{'price': '72600', 'code': 'A', 'systime': '10:31:58', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46474'}
{'price': '72600', 'code': 'A', 'systime': '10:31:59', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46634'}
{'price': '72600', 'code': 'A', 'systime': '10:31:59', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46634'}
{'price': '72600', 'code': 'A', 'systime': '10:32:00', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46772'}
{'price': '72600', 'code': 'A', 'systime': '10:32:00', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '46772'}
