{'price': '100', 'systime': '10:30:00', 'code': 'A', 'number': '0', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:17', 'code': 'A', 'number': '16031', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:18', 'code': 'A', 'number': '16685', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:18', 'code': 'A', 'number': '16685', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:19', 'code': 'A', 'number': '17800', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:19', 'code': 'A', 'number': '17800', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:20', 'code': 'A', 'number': '18559', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:20', 'code': 'A', 'number': '18559', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:21', 'code': 'A', 'number': '19497', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:21', 'code': 'A', 'number': '19497', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:22', 'code': 'A', 'number': '20206', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:22', 'code': 'A', 'number': '20206', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:23', 'code': 'A', 'number': '21383', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:23', 'code': 'A', 'number': '21383', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:24', 'code': 'A', 'number': '22756', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:24', 'code': 'A', 'number': '22756', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:25', 'code': 'A', 'number': '23769', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:25', 'code': 'A', 'number': '23769', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:26', 'code': 'A', 'number': '24756', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:26', 'code': 'A', 'number': '24756', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:27', 'code': 'A', 'number': '25671', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:27', 'code': 'A', 'number': '25671', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:28', 'code': 'A', 'number': '26539', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:28', 'code': 'A', 'number': '26539', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:29', 'code': 'A', 'number': '27098', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:29', 'code': 'A', 'number': '27098', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:30', 'code': 'A', 'number': '28040', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:30', 'code': 'A', 'number': '28040', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:31', 'code': 'A', 'number': '28892', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:31', 'code': 'A', 'number': '28892', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:32', 'code': 'A', 'number': '29648', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:32', 'code': 'A', 'number': '29648', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:33', 'code': 'A', 'number': '30417', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:33', 'code': 'A', 'number': '30417', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:34', 'code': 'A', 'number': '31114', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:34', 'code': 'A', 'number': '31114', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:35', 'code': 'A', 'number': '31794', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:35', 'code': 'A', 'number': '31794', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:36', 'code': 'A', 'number': '32436', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:36', 'code': 'A', 'number': '32436', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:37', 'code': 'A', 'number': '33088', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:37', 'code': 'A', 'number': '33088', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:38', 'code': 'A', 'number': '33684', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:38', 'code': 'A', 'number': '33684', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:39', 'code': 'A', 'number': '34252', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:39', 'code': 'A', 'number': '34252', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:40', 'code': 'A', 'number': '34802', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:40', 'code': 'A', 'number': '34802', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:41', 'code': 'A', 'number': '35341', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:41', 'code': 'A', 'number': '35341', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:42', 'code': 'A', 'number': '35996', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:42', 'code': 'A', 'number': '35996', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:43', 'code': 'A', 'number': '36680', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:43', 'code': 'A', 'number': '36680', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:44', 'code': 'A', 'number': '37289', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:44', 'code': 'A', 'number': '37289', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:45', 'code': 'A', 'number': '37835', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:45', 'code': 'A', 'number': '37835', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:46', 'code': 'A', 'number': '38353', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:46', 'code': 'A', 'number': '38353', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:47', 'code': 'A', 'number': '38896', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:47', 'code': 'A', 'number': '38896', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:48', 'code': 'A', 'number': '39401', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:48', 'code': 'A', 'number': '39401', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:49', 'code': 'A', 'number': '39847', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:49', 'code': 'A', 'number': '39847', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:50', 'code': 'A', 'number': '40329', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:50', 'code': 'A', 'number': '40329', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:51', 'code': 'A', 'number': '40782', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:51', 'code': 'A', 'number': '40782', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:52', 'code': 'A', 'number': '41240', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:52', 'code': 'A', 'number': '41240', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:53', 'code': 'A', 'number': '41695', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:53', 'code': 'A', 'number': '41695', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:54', 'code': 'A', 'number': '42163', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:54', 'code': 'A', 'number': '42163', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:55', 'code': 'A', 'number': '42606', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:55', 'code': 'A', 'number': '42606', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:56', 'code': 'A', 'number': '43101', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:56', 'code': 'A', 'number': '43101', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:57', 'code': 'A', 'number': '43663', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:57', 'code': 'A', 'number': '43663', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:58', 'code': 'A', 'number': '44232', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:58', 'code': 'A', 'number': '44232', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:59', 'code': 'A', 'number': '44715', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:59', 'code': 'A', 'number': '44715', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:00', 'code': 'A', 'number': '45203', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:00', 'code': 'A', 'number': '45203', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:01', 'code': 'A', 'number': '45676', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:01', 'code': 'A', 'number': '45676', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:02', 'code': 'A', 'number': '46139', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:02', 'code': 'A', 'number': '46139', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:03', 'code': 'A', 'number': '46575', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:03', 'code': 'A', 'number': '46575', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:05', 'code': 'A', 'number': '47008', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:05', 'code': 'A', 'number': '47008', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:06', 'code': 'A', 'number': '47388', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:06', 'code': 'A', 'number': '47388', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:07', 'code': 'A', 'number': '47792', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:07', 'code': 'A', 'number': '47792', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:08', 'code': 'A', 'number': '48209', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:08', 'code': 'A', 'number': '48209', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:09', 'code': 'A', 'number': '48564', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:09', 'code': 'A', 'number': '48564', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:10', 'code': 'A', 'number': '48957', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:10', 'code': 'A', 'number': '48957', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:11', 'code': 'A', 'number': '49328', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:11', 'code': 'A', 'number': '49328', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:12', 'code': 'A', 'number': '49718', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:12', 'code': 'A', 'number': '49718', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:13', 'code': 'A', 'number': '50076', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:13', 'code': 'A', 'number': '50076', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:14', 'code': 'A', 'number': '50405', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:14', 'code': 'A', 'number': '50405', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:15', 'code': 'A', 'number': '50755', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:15', 'code': 'A', 'number': '50755', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:16', 'code': 'A', 'number': '51102', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:16', 'code': 'A', 'number': '51102', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:17', 'code': 'A', 'number': '51422', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:17', 'code': 'A', 'number': '51422', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:18', 'code': 'A', 'number': '51706', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:18', 'code': 'A', 'number': '51706', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:19', 'code': 'A', 'number': '52057', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:19', 'code': 'A', 'number': '52057', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:20', 'code': 'A', 'number': '52380', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:20', 'code': 'A', 'number': '52380', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:21', 'code': 'A', 'number': '52693', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:21', 'code': 'A', 'number': '52693', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:22', 'code': 'A', 'number': '52994', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:22', 'code': 'A', 'number': '52994', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:23', 'code': 'A', 'number': '53291', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:23', 'code': 'A', 'number': '53291', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:24', 'code': 'A', 'number': '53602', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:24', 'code': 'A', 'number': '53602', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:25', 'code': 'A', 'number': '53857', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:25', 'code': 'A', 'number': '53857', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:26', 'code': 'A', 'number': '54176', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:26', 'code': 'A', 'number': '54176', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:27', 'code': 'A', 'number': '54507', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:27', 'code': 'A', 'number': '54507', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:28', 'code': 'A', 'number': '54851', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:28', 'code': 'A', 'number': '54851', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:29', 'code': 'A', 'number': '55181', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:28', 'code': 'A', 'number': '54851', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:30', 'code': 'A', 'number': '55539', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:30', 'code': 'A', 'number': '55539', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:31', 'code': 'A', 'number': '55858', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:31', 'code': 'A', 'number': '55858', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:32', 'code': 'A', 'number': '56176', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:32', 'code': 'A', 'number': '56176', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:33', 'code': 'A', 'number': '56511', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:33', 'code': 'A', 'number': '56511', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:34', 'code': 'A', 'number': '56853', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:34', 'code': 'A', 'number': '56853', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:35', 'code': 'A', 'number': '57124', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:35', 'code': 'A', 'number': '57124', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:36', 'code': 'A', 'number': '57366', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:36', 'code': 'A', 'number': '57366', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:37', 'code': 'A', 'number': '57652', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:37', 'code': 'A', 'number': '57652', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:38', 'code': 'A', 'number': '57947', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:38', 'code': 'A', 'number': '57947', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:39', 'code': 'A', 'number': '58186', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:39', 'code': 'A', 'number': '58186', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:40', 'code': 'A', 'number': '58463', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:40', 'code': 'A', 'number': '58463', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:41', 'code': 'A', 'number': '58726', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:41', 'code': 'A', 'number': '58726', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:42', 'code': 'A', 'number': '58989', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:42', 'code': 'A', 'number': '58989', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:43', 'code': 'A', 'number': '59279', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:43', 'code': 'A', 'number': '59279', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:44', 'code': 'A', 'number': '59529', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:44', 'code': 'A', 'number': '59529', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:45', 'code': 'A', 'number': '59756', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:45', 'code': 'A', 'number': '59756', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:46', 'code': 'A', 'number': '59968', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:46', 'code': 'A', 'number': '59968', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:47', 'code': 'A', 'number': '60203', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:47', 'code': 'A', 'number': '60203', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:48', 'code': 'A', 'number': '60430', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:48', 'code': 'A', 'number': '60430', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:49', 'code': 'A', 'number': '60680', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:49', 'code': 'A', 'number': '60680', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:50', 'code': 'A', 'number': '60883', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:31:50', 'code': 'A', 'number': '60883', 'ltime': '10:30:12', 'bidinfo': '上半场'}
