log/01_log_warning.log:('2015-03-21 11:30:07.197319', "client 52703045 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.277488', 'client 52537527 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.579739', 'client 52776790 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:27.777779', "client 52712600 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:08.362518', "client 52540008 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:16.820513', "client 52713127 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:20.982616', 'client 52758080 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:20.983406', 'client 52708010 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:22.439229', 'client 52451108 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:22.544430', "client 52527405 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:23.809383', "client 52735278 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:23.811295', "client 52278722 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.967637', 'client 52791548 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:20.968346', "client 52779875 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.968561', "client 52730687 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.986684', "client 52538897 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.986833', "client 52488387 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:22.043054', 'client 52454746 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:27.663316', "client 52746020 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:27.663613', "client 52706069 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:17.713333', "client 52741812 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.273141', 'client 52749591 bids finished. price : [None, None, None] . Quit.....')
log/06_log_warning.log:('2015-03-21 11:30:21.477185', "client 52547079 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.709717', "client 52527455 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.844611', "client 52719318 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:22.626638', "client 52791783 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:22.642456', "client 52450155 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:28.079610', "client 52462129 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:06.847888', "client 52710159 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:06.910460', "client 52538166 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:16.802211', "client 52703487 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.591504', "client 52498173 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.673687', "client 52796508 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.692755', "client 52779111 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.795516', "client 52510837 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:27.046724', "client 52774113 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:19.268766', "client 52504578 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:20.884572', "client 52513427 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.040549', "client 52487170 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.419289', 'client 52785524 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:21.428044', 'client 52480258 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:21.603525', "client 52731275 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:23.673923', 'client 52547074 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:23.674489', "client 52516714 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:27.667715', "client 52315673 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:17.215137', "client 52458209 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:17.215482', 'client 52768794 bids finished. price : [None, None, None] . Quit.....')
log/09_log_warning.log:('2015-03-21 11:30:17.215621', "client 52789237 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:20.898177', "client 52717602 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:22.231678', "client 52702487 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:23.048631', "client 52734767 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:23.049601', 'client 52525476 bids finished. price : [None, None, None] . Quit.....')
log/09_log_warning.log:('2015-03-21 11:30:23.705654', "client 52455670 bids finished. price : ['73700', None, None] . Quit.....")
