log/01_log_warning.log:('2015-03-21 11:30:17.240995', "client 52538800 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:17.454697', "client 52493503 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.968564', "client 52775549 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.969074', "client 52464974 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:22.309283', "client 52573228 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:22.333231', "client 52549400 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:22.366328', 'client 52734013 bids finished. price : [None, None, None] . Quit.....')
log/07_log_warning.log:('2015-03-21 11:30:22.381750', "client 52785954 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:27.767976', "client 52737372 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:17.066356', "client 52739710 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.807463', "client 52311228 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:22.710348', "client 52778107 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:27.401322', 'client 52471992 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:28.056728', "client 52558021 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:28.057153', "client 52597357 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:28.057352', "client 52250506 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:28.057710', "client 52783213 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:19.888551', "client 52724516 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:20.154737', "client 52589087 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.143326', "client 52763249 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.156607', "client 52590237 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.539104', "client 52532259 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.552888', 'client 52579239 bids finished. price : [None, None, None] . Quit.....')
log/09_log_warning.log:('2015-03-21 11:30:21.564564', "client 52595327 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:24.720177', "client 52792665 bids finished. price : ['73700', None, None] . Quit.....")
