01_log_warning.log:('2014-11-15 11:30:09.268163', "client 52441842 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:15.613079', "client 52461635 bids finished. price : ['72600', '73500', None] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:15.616339', "client 52392248 bids finished. price : ['72600', '73500', None] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:19.627134', "client 52301653 bids finished. price : ['72600', '73500', None] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:19.627753', "client 52528517 bids finished. price : ['72600', '73500', None] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:19.652573', "client 52385588 bids finished. price : ['72600', '73500', None] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.222657', "client 52410388 bids finished. price : ['72600', '73500', None] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.793131', "client 52441882 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.793547', "client 52354010 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.798790', "client 52343234 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.799298', "client 52250379 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.817362', "client 52413970 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.832518', "client 52459981 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:10.832776', "client 52443981 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:12.917744', "client 52412034 bids finished. price : ['72600', '73500', None] . Quit.....")
08_log_warning.log:('2014-11-15 11:30:22.067701', "client 52370981 bids finished. price : ['72600', '73500', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:11.078632', "client 52463043 bids finished. price : ['72600', '73600', '73800'] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:13.018260', "client 52316564 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:13.399173', "client 52479116 bids finished. price : ['72600', None, None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:14.390086', "client 52441087 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:15.574000', "client 52325484 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:15.585674', "client 52400910 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:16.218419', "client 52444177 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:16.237972', "client 52415375 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:16.249038', "client 52354984 bids finished. price : ['72600', '73600', None] . Quit.....")
09_log_warning.log:('2014-11-15 11:30:22.015394', "client 52508472 bids finished. price : ['72600', '73600', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.033522', "client 52405120 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.554618', "client 52382780 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.573600', "client 52496736 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.595352', "client 52438321 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.637183', "client 52337869 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.637687', "client 52542854 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.660980', "client 52401211 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.668599', "client 52421955 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:11.675888', "client 52415322 bids finished. price : ['72600', '73700', None] . Quit.....")
10_log_warning.log:('2014-11-15 11:30:12.437632', "client 52424824 bids finished. price : ['72600', '73700', None] . Quit.....")
11_log_warning.log:('2014-11-15 11:30:09.197051', "client 52445852 bids finished. price : ['72600', None, '73700'] . Quit.....")
11_log_warning.log:('2014-11-15 11:30:09.219228', "client 52359836 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
11_log_warning.log:('2014-11-15 11:30:12.693918', "client 52465457 bids finished. price : ['72600', '73500', None] . Quit.....")
11_log_warning.log:('2014-11-15 11:30:15.498798', "client 52334722 bids finished. price : ['72600', None, None] . Quit.....")
11_log_warning.log:('2014-11-15 11:30:15.500557', "client 52366660 bids finished. price : ['72600', None, None] . Quit.....")
11_log_warning.log:('2014-11-15 11:30:15.699154', "client 52318962 bids finished. price : ['72600', '73500', None] . Quit.....")
