log/01_log_warning.log:('2015-04-18 11:30:08.266615', "client 52559481 bids finished. price : ['75200', None, '80900'] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:11.119425', "client 52489320 bids finished. price : ['75200', '80600', None] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:18.773392', "client 52886334 bids finished. price : ['75200', None, None] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:22.031639', "client 52490266 bids finished. price : ['75200', '80600', None] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:22.032168', "client 52480495 bids finished. price : ['75200', '80600', None] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:22.898453', "client 52484890 bids finished. price : ['75200', '80600', None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:11.592577', "client 52841904 bids finished. price : ['75200', None, None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:12.423355', "client 52712600 bids finished. price : ['75200', None, None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:13.848524', "client 52709078 bids finished. price : ['75200', None, None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:17.120577', "client 52254622 bids finished. price : ['75200', None, None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:18.322994', "client 52510837 bids finished. price : ['75200', '80600', None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:18.351387', "client 52727226 bids finished. price : ['75200', '80600', None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:19.539833', "client 52845986 bids finished. price : ['75200', None, None] . Quit.....")
log/06_log_warning.log:('2015-04-18 11:30:22.107044', "client 52483854 bids finished. price : ['75200', '80700', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:15.351777', "client 52708010 bids finished. price : ['75200', '80600', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:15.420783', "client 52889848 bids finished. price : ['75200', '80600', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:15.743869', "client 52827617 bids finished. price : ['75200', '80600', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:15.946188', "client 52748584 bids finished. price : ['75200', '80600', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:15.983635', "client 52741000 bids finished. price : ['75200', '80600', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:17.943160', "client 52830574 bids finished. price : ['75200', '80600', None] . Quit.....")
log/07_log_warning.log:('2015-04-18 11:30:18.164404', "client 52518926 bids finished. price : ['75200', '80600', None] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:09.007462', "client 52778107 bids finished. price : ['75200', '80700', '80800'] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:17.730206', "client 52795717 bids finished. price : ['75200', None, None] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:20.935891', "client 52553719 bids finished. price : ['75200', '80700', None] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:22.524881', "client 52776594 bids finished. price : ['75200', '80700', None] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:25.255418', "client 52465489 bids finished. price : ['75200', '80700', None] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:27.124464', "client 52776161 bids finished. price : ['75200', None, None] . Quit.....")
log/08_log_warning.log:('2015-04-18 11:30:27.144565', "client 52744261 bids finished. price : ['75200', None, None] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:09.997633', "client 52536160 bids finished. price : ['75200', '80800', '80900'] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:17.754791', "client 52462734 bids finished. price : ['75200', '80800', None] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:21.401298', "client 52763164 bids finished. price : ['75200', None, None] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:21.793287', "client 52450155 bids finished. price : ['75200', None, None] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:22.642739', "client 52750713 bids finished. price : ['75200', '80800', None] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:26.039632', "client 52465810 bids finished. price : ['75200', '80800', None] . Quit.....")
log/09_log_warning.log:('2015-04-18 11:30:27.423683', "client 52890393 bids finished. price : ['75200', None, None] . Quit.....")
