log/01_log_warning.log:('2015-03-21 11:30:20.945796', "client 52275742 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:22.114383', 'client 52742965 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:23.074724', "client 52599578 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.032835', "client 52776303 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.090102', "client 52504167 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.100601', "client 52727161 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.219088', "client 52516780 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.750872', "client 52702746 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.774044', "client 52740848 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.815320', "client 52559223 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.855246', "client 52503841 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.967748', 'client 52472272 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:21.026391', "client 52531566 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.141497', "client 52268663 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.334610', "client 52743538 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:22.135205', "client 52483703 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:22.156516', "client 52465489 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:23.717356', "client 52528710 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:27.704687', "client 52738492 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:17.144178', 'client 52491331 bids finished. price : [None, None, None] . Quit.....')
log/06_log_warning.log:('2015-03-21 11:30:21.226417', "client 52790764 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.274952', "client 52488626 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:22.709756', "client 52461175 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:22.768785', "client 52488047 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:23.473586', "client 52751996 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:26.749724', 'client 52452414 bids finished. price : [None, None, None] . Quit.....')
log/06_log_warning.log:('2015-03-21 11:30:28.066745', "client 52784852 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:20.712913', 'client 52520859 bids finished. price : [None, None, None] . Quit.....')
log/07_log_warning.log:('2015-03-21 11:30:21.031053', 'client 52582636 bids finished. price : [None, None, None] . Quit.....')
log/07_log_warning.log:('2015-03-21 11:30:21.034214', "client 52502954 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:21.113305', "client 52584946 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:21.113605', 'client 52577827 bids finished. price : [None, None, None] . Quit.....')
log/07_log_warning.log:('2015-03-21 11:30:22.550469', "client 52744261 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:27.697246', "client 52742373 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:27.713860', "client 52798360 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:16.943655', "client 52794243 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:20.922524', "client 52490266 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.065076', "client 52764856 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.335084', "client 52770499 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.681568', "client 52426847 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:22.164408', "client 52749612 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:23.076092', "client 52728820 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:23.721554', "client 52780247 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:17.328935', "client 52535818 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:18.070861', "client 52452621 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:20.849630', "client 52781514 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:20.876500', "client 52549253 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.035500', "client 52739303 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:22.336984', "client 52537981 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:22.430539', "client 52269413 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:22.535288', 'client 52701109 bids finished. price : [None, None, None] . Quit.....')
