log/01_log_warning.log:('2015-03-21 11:30:21.218767', "client 52312655 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.049134', "client 52747550 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.448545', "client 52480495 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:23.694293', "client 52496901 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:23.765296', 'client 52500420 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:27.035722', "client 52561590 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:27.035948', "client 52595949 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.848646', "client 52749124 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.022790', "client 52769979 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.441815', "client 52466731 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.495928', "client 52541910 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.536280', "client 52546895 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:23.712014', 'client 52462326 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:23.712337', "client 52778085 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:27.714241', "client 52563457 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:16.553082', "client 52433025 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.704917', "client 52539890 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.762961', "client 52797686 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.765399', "client 52498111 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.811919', "client 52791116 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.325892', "client 52496991 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:22.894415', "client 52779481 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:27.553956', "client 52706862 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:27.554248', "client 52342404 bids finished. price : ['73700', None, None] . Quit.....")
