log/01_log_warning.log:('2015-03-21 11:30:08.041287', "client 52771113 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:20.906731', "client 52274941 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:21.512910', 'client 52731907 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:21.587929', "client 52537272 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:22.129065', 'client 52484890 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:27.741564', "client 52729888 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:27.741868', "client 52568443 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:18.170910', "client 52496826 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:20.613151', "client 52498967 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.021725', "client 52763214 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.022019', "client 52709835 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:21.624541', "client 52715080 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:23.070037', "client 52723770 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-03-21 11:30:23.594036', 'client 52592221 bids finished. price : [None, None, None] . Quit.....')
log/09_log_warning.log:('2015-03-21 11:30:23.597783', "client 52496915 bids finished. price : ['73700', None, None] . Quit.....")
